"Year","Rider","Rnk.Dauphine","Rnk.Tour","Rnk.TourDeSuisse"
2001,"Zandio Xabier",46,NA,NA
2001,"Zberg Beat",NA,NA,4
2001,"Zberg Markus",NA,NA,33
2001,"Zubeldia Haimar",NA,73,NA
2001,"Zumsteg Lukas",NA,NA,73
2001,"Zülle Alex",NA,NA,22
2001,"den Bakker Maarten",NA,75,74
2001,"van Heeswijk Max",NA,134,NA
2002,"Aerts Mario",NA,50,NA
2002,"Aggiano Elio",NA,NA,90
2002,"Agnolutto Christophe",NA,144,35
2002,"Aldag Rolf",NA,72,18
2002,"Apollonio Massimo",NA,139,NA
2002,"Armstrong Lance",1,1,NA
2002,"Arrizabalaga Gorka",26,142,NA
2002,"Astarloza Mikel",53,NA,NA
2002,"Augé Stéphane",NA,115,NA
2002,"Azevedo José Bento",NA,6,NA
2002,"Bader Vincent",NA,NA,37
2002,"Baguet Serge",66,105,NA
2002,"Baldato Fabio",NA,132,NA
2002,"Baranowski Dariusz",27,24,NA
2002,"Basso Ivan",NA,11,44
2002,"Belli Wladimir",NA,45,NA
2002,"Belohvošciks Raivis",NA,118,82
2002,"Beloki Joseba",NA,2,NA
2002,"Bergmann Reto",NA,NA,20
2002,"Bergès Stéphane",NA,150,NA
2002,"Bernard Jérôme",59,102,NA
2002,"Bertogliati Rubens",NA,138,50
2002,"Bessy Frédéric",49,67,NA
2002,"Blanco Santiago",NA,57,NA
2002,"Bodo Thomas",37,NA,NA
2002,"Bodrogi László",NA,62,NA
2002,"Bolts Udo",NA,48,NA
2002,"Boogerd Michael",NA,12,NA
2002,"Bortolami Gianluca",NA,75,39
2002,"Botcharov Alexandre",15,30,NA
2002,"Botero Santiago",38,4,NA
2002,"Bourquenoud Pierre",NA,NA,15
2002,"Bouyer Franck",NA,114,NA
2002,"Boven Jan",NA,NA,53
2002,"Brandt Christophe",73,35,NA
2002,"Brochard Laurent",NA,26,NA
2002,"Brognara Andrea",NA,119,NA
2002,"Brozyna Tomasz",42,NA,NA
2002,"Bruseghin Marzio",8,47,NA
2002,"Bénéteau Walter",48,117,NA
2002,"Cabello Francisco",NA,111,NA
2002,"Calcagni Patrick",NA,NA,73
2002,"Casagrande Francesco",NA,NA,9
2002,"Casar Sandy",50,83,NA
2002,"Casarotto Davide",NA,149,NA
2002,"Casper Jimmy",NA,NA,92
2002,"Cassani Enrico",NA,124,46
2002,"Celestino Mirko",NA,NA,32
2002,"Chantyr Anton",NA,NA,88
2002,"Charriere Christian",NA,NA,21
2002,"Chaurreau Íñigo",16,41,NA
2002,"Chavanel Sylvain",NA,36,NA
2002,"Commesso Salvatore",NA,NA,38
2002,"Cooke Baden",67,127,NA
2002,"Cortinovis Alessandro",NA,140,NA
2002,"Cuesta Iñigo",NA,49,NA
2002,"Da Cruz Carlos",NA,NA,31
2002,"De Clercq Hans",NA,145,NA
2002,"De Wolf Steve",32,NA,NA
2002,"Dekker Erik",NA,136,NA
2002,"Dessel Cyril",NA,113,NA
2002,"Di Grande Giuseppe",NA,NA,8
2002,"Di Luca Danilo",NA,NA,74
2002,"Dierckxsens Ludo",NA,108,NA
2002,"Donati Massimo",NA,NA,49
2002,"Dufaux Laurent",NA,NA,4
2002,"Duijn Marcel",NA,NA,83
2002,"Durand Jacky",83,NA,NA
2002,"Díaz de Cerio Rubén",85,NA,NA
2002,"Edaleine Christophe",54,100,NA
2002,"Ekimov Viatcheslav",28,58,NA
2002,"Elmiger Martin",NA,NA,28
2002,"Engels Addy",NA,94,NA
2002,"Estadieu Laurent",76,NA,NA
2002,"Etxebarria David",NA,60,NA
2002,"Etxebarria Unai",81,141,NA
2002,"Fagnini Gian Matteo",NA,101,56
2002,"Faresin Gianni",NA,NA,40
2002,"Fernández Bingen",NA,79,NA
2002,"Flickinger Andy",NA,103,59
2002,"Flores Igor",NA,153,NA
2002,"Frigo Dario",NA,25,NA
2002,"Fritsch Nicolas",NA,NA,3
2002,"Fuentes Juan Manuel",NA,NA,25
2002,"Gabriël Frédéric",NA,NA,24
2002,"Garate Juan Manuel",NA,NA,43
2002,"García Acosta José Vicente",NA,122,NA
2002,"García Felix Manuel",12,NA,NA
2002,"Gaynitdinov Dmitri",NA,NA,33
2002,"Giabbecucci Federico",NA,NA,62
2002,"Gianetti Mauro",NA,NA,77
2002,"Giunti Massimo",NA,NA,45
2002,"González Santos",NA,NA,13
2002,"González de Galdeano Igor",NA,5,NA
2002,"Gotti Ivan",NA,23,NA
2002,"Goubert Stéphane",18,17,NA
